model,ridge,held_out_group,mse
countsketch_15161,0.0001,0,1.507993301676267
countsketch_15161,0.0001,2,1.07717956212163
countsketch_15161,0.0001,4,2.0510156639893973
countsketch_15161,0.0001,6,0.6441017674922513
countsketch_15161,0.0001,mean,1.3200725738198864
countsketch_15161,0.001,0,1.5065762786698524
countsketch_15161,0.001,2,1.0775126756361022
countsketch_15161,0.001,4,2.0489209962283295
countsketch_15161,0.001,6,0.6441156461812307
countsketch_15161,0.001,mean,1.3192813991788785
countsketch_15161,0.01,0,1.4929623821387188
countsketch_15161,0.01,2,1.0807767067002088
countsketch_15161,0.01,4,2.0288392330106433
countsketch_15161,0.01,6,0.6442987719556678
countsketch_15161,0.01,mean,1.3117192734513095
countsketch_15161,0.1,0,1.3957754221736778
countsketch_15161,0.1,2,1.1078024986321784
countsketch_15161,0.1,4,1.8880384683844842
countsketch_15161,0.1,6,0.6490209377690891
countsketch_15161,0.1,mean,1.2601593317398574
countsketch_15161,1.0,0,1.1659767403088124
countsketch_15161,1.0,2,1.1953582000715175
countsketch_15161,1.0,4,1.6136820307702628
countsketch_15161,1.0,6,0.702924339856296
countsketch_15161,1.0,mean,1.1694853277517223
countsketch_15161,10.0,0,0.9324516875277237
countsketch_15161,10.0,2,1.2592314123106199
countsketch_15161,10.0,4,1.5384662383959748
countsketch_15161,10.0,6,0.7507727902481134
countsketch_15161,10.0,mean,1.120230532120608
countsketch_15161,100.0,0,0.8204058459529646
countsketch_15161,100.0,2,1.3889105300291598
countsketch_15161,100.0,4,1.547573115716413
countsketch_15161,100.0,6,0.7331603603605829
countsketch_15161,100.0,mean,1.12251246301478
countsketch_15161,1000.0,0,0.987789116699074
countsketch_15161,1000.0,2,1.456997817815996
countsketch_15161,1000.0,4,1.6389116900756375
countsketch_15161,1000.0,6,0.8312785319081414
countsketch_15161,1000.0,mean,1.2287442891247122
countsketch_15161,10000.0,0,1.2592336464911278
countsketch_15161,10000.0,2,1.4199069075990385
countsketch_15161,10000.0,4,1.884518677148954
countsketch_15161,10000.0,6,1.0140984504749178
countsketch_15161,10000.0,mean,1.3944394204285093
countsketch_15161,100000.0,0,1.4466351679763176
countsketch_15161,100000.0,2,1.5978169402782447
countsketch_15161,100000.0,4,2.1435409131061998
countsketch_15161,100000.0,6,1.3037450657311234
countsketch_15161,100000.0,mean,1.6229345217729714
countsketch_15161,1000000.0,0,1.499247810648952
countsketch_15161,1000000.0,2,1.7034889625357537
countsketch_15161,1000000.0,4,2.2243484534149003
countsketch_15161,1000000.0,6,1.419054812074038
countsketch_15161,1000000.0,mean,1.711535009668411
countsketch_15173,0.0001,0,0.41729829069861246
countsketch_15173,0.0001,2,1.268341011037344
countsketch_15173,0.0001,4,1.6645589299166967
countsketch_15173,0.0001,6,1.3734019494660363
countsketch_15173,0.0001,mean,1.1809000452796723
countsketch_15173,0.001,0,0.41686003999387106
countsketch_15173,0.001,2,1.2682215048356182
countsketch_15173,0.001,4,1.6643187644837347
countsketch_15173,0.001,6,1.3728697994382792
countsketch_15173,0.001,mean,1.180567527187876
countsketch_15173,0.01,0,0.412717803271888
countsketch_15173,0.01,2,1.2670955485396798
countsketch_15173,0.01,4,1.6621135736349177
countsketch_15173,0.01,6,1.3676214584395596
countsketch_15173,0.01,mean,1.1773870959715114
countsketch_15173,0.1,0,0.3863653752290603
countsketch_15173,0.1,2,1.2612252182917525
countsketch_15173,0.1,4,1.6516360586423684
countsketch_15173,0.1,6,1.3213634010525142
countsketch_15173,0.1,mean,1.1551475133039237
countsketch_15173,1.0,0,0.3469123904743906
countsketch_15173,1.0,2,1.3261165375632018
countsketch_15173,1.0,4,1.6529310186676025
countsketch_15173,1.0,6,1.1055656704668122
countsketch_15173,1.0,mean,1.1078814042930019
countsketch_15173,10.0,0,0.37875170449065476
countsketch_15173,10.0,2,1.5945127984600085
countsketch_15173,10.0,4,1.6140556616032133
countsketch_15173,10.0,6,0.8420497082478525
countsketch_15173,10.0,mean,1.1073424682004323
countsketch_15173,100.0,0,0.5355268175926738
countsketch_15173,100.0,2,1.5588407438157044
countsketch_15173,100.0,4,1.5478172641813843
countsketch_15173,100.0,6,0.7473869150747835
countsketch_15173,100.0,mean,1.0973929351661365
countsketch_15173,1000.0,0,0.8675671909100903
countsketch_15173,1000.0,2,1.4380226881033058
countsketch_15173,1000.0,4,1.5939479616075722
countsketch_15173,1000.0,6,0.7234208750203174
countsketch_15173,1000.0,mean,1.1557396789103214
countsketch_15173,10000.0,0,1.2645004339639574
