model,split,reader,r2
countsketch_15161,construction,agent_x,0.9959103602087418
countsketch_15161,construction,agent_y,0.9957456299613139
countsketch_15161,construction,block_x,0.9977060913716439
countsketch_15161,construction,block_y,0.9978923120121126
countsketch_15161,construction,block_sin,0.9975818231340761
countsketch_15161,construction,block_cos,0.9981058431544735
countsketch_15161,evaluation_post_hoc,agent_x,0.42007874057093053
countsketch_15161,evaluation_post_hoc,agent_y,-0.10847643071224167
countsketch_15161,evaluation_post_hoc,block_x,-0.14190195201450018
countsketch_15161,evaluation_post_hoc,block_y,0.42412503405571156
countsketch_15161,evaluation_post_hoc,block_sin,-0.02563462720640919
countsketch_15161,evaluation_post_hoc,block_cos,-0.039009385128131235
countsketch_15173,construction,agent_x,0.989491939914677
countsketch_15173,construction,agent_y,0.9915943484424264
countsketch_15173,construction,block_x,0.9956755737984881
countsketch_15173,construction,block_y,0.9955259767145287
countsketch_15173,construction,block_sin,0.9946719691102847
countsketch_15173,construction,block_cos,0.9964526391813633
countsketch_15173,evaluation_post_hoc,agent_x,0.44024701569791425
countsketch_15173,evaluation_post_hoc,agent_y,-0.385321455764684
countsketch_15173,evaluation_post_hoc,block_x,0.20539817390300652
countsketch_15173,evaluation_post_hoc,block_y,0.2776429178271883
countsketch_15173,evaluation_post_hoc,block_sin,0.16612383351237603
countsketch_15173,evaluation_post_hoc,block_cos,-0.0994945046181368
countsketch_15187,construction,agent_x,0.9965311802269866
countsketch_15187,construction,agent_y,0.9952609597949472
countsketch_15187,construction,block_x,0.9980043752175831
countsketch_15187,construction,block_y,0.9983117701696546
countsketch_15187,construction,block_sin,0.9979568447927735
countsketch_15187,construction,block_cos,0.9984630116616252
countsketch_15187,evaluation_post_hoc,agent_x,0.7285953798685418
countsketch_15187,evaluation_post_hoc,agent_y,-1.3585016483507606
countsketch_15187,evaluation_post_hoc,block_x,0.15261253520946572
countsketch_15187,evaluation_post_hoc,block_y,0.48788958594647946
countsketch_15187,evaluation_post_hoc,block_sin,0.10296809410338137
countsketch_15187,evaluation_post_hoc,block_cos,0.40930114380863847
countsketch_192_extended,construction,agent_x,0.9962967752270432
countsketch_192_extended,construction,agent_y,0.9961254498254141
countsketch_192_extended,construction,block_x,0.9982173061429956
countsketch_192_extended,construction,block_y,0.9983350999607977
countsketch_192_extended,construction,block_sin,0.9981398942101658
countsketch_192_extended,construction,block_cos,0.9985735030572436
