model,horizon,contact_stratum,num_pairs,num_states,effect_rmse,effect_rmse_low,effect_rmse_high,effect_rmse_num_pairs,effect_rmse_num_states,effect_scale,effect_scale_low,effect_scale_high,effect_scale_num_pairs,effect_scale_num_states,normalized_effect_rmse,normalized_effect_rmse_low,normalized_effect_rmse_high,normalized_effect_rmse_num_pairs,normalized_effect_rmse_num_states,effect_cosine,effect_cosine_low,effect_cosine_high,effect_cosine_num_pairs,effect_cosine_num_states,physical_ranking_credit,physical_ranking_credit_low,physical_ranking_credit_high,physical_ranking_credit_num_pairs,physical_ranking_credit_num_states,latent_ranking_credit,latent_ranking_credit_low,latent_ranking_credit_high,latent_ranking_credit_num_pairs,latent_ranking_credit_num_states
dino_wm_pusht,1,neither,10878,246,0.10448109778732456,0.10203785130172843,0.10710798799087358,10878,246,0.22169354025197652,0.21834647925635003,0.22508887478309306,10878,246,0.4893567706891788,0.48116100311443893,0.49805302483437397,10878,246,0.8646456043488722,0.8594913150985738,0.8694407492940732,10878,246,,,,0,0,0.8259790402647545,0.8145969262387348,0.8371631931514403,10878,246
dino_wm_pusht,1,one,177,12,0.27030232830592044,0.2123690889736072,0.33338733748711763,177,12,0.4087942211798751,0.3505885449028409,0.47160355373348317,177,12,0.6728843478335158,0.5651037143965464,0.8239208534624923,177,12,0.7910191877228342,0.742190075911205,0.8303302529615584,177,12,0.27044025157232704,0.058394160583941604,0.49673202614379086,159,10,0.8305084745762712,0.7055536529680366,0.9457912488276459,177,12
dino_wm_pusht,1,both,195,12,0.28310849202318183,0.2262499895904357,0.34128182067085194,195,12,0.3851869182814038,0.35125902311379764,0.41781338894138864,195,12,0.7395248830953748,0.6484582850186326,0.84444359026889,195,12,0.6777630042363217,0.5835988428406892,0.7579813530493524,195,12,0.4666666666666667,0.3669724770642202,0.5679238871899421,195,12,0.717948717948718,0.6057658450704225,0.8142928098391674,195,12
dino_wm_pusht,3,neither,9582,246,0.16432833911197797,0.1605826055636859,0.16791289592425812,9582,246,0.41059050303614986,0.405816792387864,0.4149168981548196,9582,246,1666622799.7392976,1219519760.5278826,2200113400.5162053,9582,246,0.8912944788021419,0.8856920933788031,0.8965626616681837,9582,246,,,,0,0,0.8461865758961813,0.835326449385158,0.8568758236973723,9401,246
dino_wm_pusht,3,one,1392,110,0.30611325779040793,0.2888606822033381,0.32471349287042744,1392,110,0.6178397049327324,0.5969335802249034,0.6383887577100227,1392,110,0.5154461546058996,0.4842611632852208,0.5494465908152061,1392,110,0.8453660799482947,0.8219134051351922,0.8660538159709169,1392,110,0.5549132947976878,0.4900004824612019,0.6212223587223586,1384,110,0.7701149425287356,0.7251208226952297,0.8090151542374883,1392,110
dino_wm_pusht,3,both,276,45,0.3758014805497364,0.32351164485408485,0.42469649134662185,276,45,0.5927183261298173,0.5737752424347833,0.619012676712969,276,45,0.6386574618168963,0.5623554200779297,0.7134305812119389,276,45,0.7674973477256352,0.7215294828159746,0.8201231647683961,276,45,0.4420289855072464,0.39659751265683474,0.5,276,45,0.7318840579710145,0.634176054650048,0.8656748723912903,276,45
dino_wm_pusht,6,neither,8063,246,0.21640782352015567,0.21146737344348857,0.2211489925272316,8063,246,0.41338974823981794,0.405664710916968,0.4213008850545907,8063,246,18921576499.844696,16915332268.316519,21033339863.6857,8063,246,0.7472924989506189,0.7360443634896134,0.7587121891657087,8063,246,,,,0,0,0.8380952380952381,0.8222577723642955,0.8533047007364679,6930,246
dino_wm_pusht,6,one,2828,235,0.35281110805486304,0.34094219365244643,0.3647150085106778,2828,235,0.706512159229413,0.6874519005309604,0.7245094626994953,2828,235,0.5263838516626405,0.5062980176463874,0.5460113808377902,2828,235,0.8482084007563864,0.8365080756324402,0.8601835829791517,2828,235,0.48066690315714794,0.43981951188962115,0.5227543769890761,2819,234,0.8086987270155587,0.7793251339872586,0.8362840574840885,2828,235
dino_wm_pusht,6,both,359,83,0.403060209920575,0.35844545847709486,0.44698074095200563,359,83,0.6928361916420898,0.654978188177792,0.7373987391183717,359,83,225568748.2790615,0.5425621982130323,642820446.9869092,359,83,0.7693499789772071,0.723920492041011,0.8309283507603556,359,83,0.4735376044568245,0.4249443822631237,0.5409315469960226,359,83,0.8212290502793296,0.7893375406888075,0.8547734573684914,358,83
jepa_wm_pusht,1,neither,10878,246,0.11313946253559314,0.1105225551857959,0.11589945431588283,10878,246,0.20743854867865313,0.2039545844070391,0.21088176149584736,10878,246,0.5675528257578915,0.5588826555812914,0.5767452357912257,10878,246,0.8153889245009768,0.8090953990230476,0.8210333010171882,10878,246,,,,0,0,0.7988600845743703,0.7866416165747013,0.8107117492346314,10878,246
