environment,model,adaptation_seed,method,horizon,matched_geometry_rmse,native_anchor
PushT,jepa_wm_pusht,11401,frozen,1,1.080546498298645,0.04421646520495415
PushT,jepa_wm_pusht,11401,frozen,3,0.8691274523735046,0.06461361050605774
PushT,jepa_wm_pusht,11401,frozen,6,0.8383926749229431,0.07368087023496628
PushT,jepa_wm_pusht,11401,fidelity_constrained_latent_only,1,1.066719651222229,0.03973676636815071
PushT,jepa_wm_pusht,11401,fidelity_constrained_latent_only,3,0.857754111289978,0.0573490746319294
PushT,jepa_wm_pusht,11401,fidelity_constrained_latent_only,6,0.8123286962509155,0.0631859079003334
PushT,jepa_wm_pusht,11401,fidelity_constrained_shuffled_geometry,1,1.07157564163208,0.045072730630636215
PushT,jepa_wm_pusht,11401,fidelity_constrained_shuffled_geometry,3,0.8733916878700256,0.06485225260257721
PushT,jepa_wm_pusht,11401,fidelity_constrained_shuffled_geometry,6,0.8312676548957825,0.07435325533151627
PushT,jepa_wm_pusht,11401,fidelity_constrained_matched_geometry,1,1.0591816902160645,0.04423418641090393
PushT,jepa_wm_pusht,11401,fidelity_constrained_matched_geometry,3,0.8471949696540833,0.06252237409353256
PushT,jepa_wm_pusht,11401,fidelity_constrained_matched_geometry,6,0.8003499507904053,0.06939597427845001
Wall,jepa_wm_wall,11401,frozen,1,1.189724087715149,0.12702064216136932
Wall,jepa_wm_wall,11401,frozen,3,1.7150977849960327,0.1991143375635147
Wall,jepa_wm_wall,11401,frozen,6,1.7570147514343262,0.21436478197574615
Wall,jepa_wm_wall,11401,fidelity_constrained_latent_only,1,1.164824366569519,0.09205284714698792
Wall,jepa_wm_wall,11401,fidelity_constrained_latent_only,3,1.5519492626190186,0.14755921065807343
Wall,jepa_wm_wall,11401,fidelity_constrained_latent_only,6,1.7315406799316406,0.17367549240589142
Wall,jepa_wm_wall,11401,fidelity_constrained_shuffled_geometry,1,1.1426117420196533,0.129374161362648
Wall,jepa_wm_wall,11401,fidelity_constrained_shuffled_geometry,3,1.6297852993011475,0.1957467645406723
Wall,jepa_wm_wall,11401,fidelity_constrained_shuffled_geometry,6,1.7162415981292725,0.2142547219991684
Wall,jepa_wm_wall,11401,fidelity_constrained_matched_geometry,1,1.14791738986969,0.12953294813632965
Wall,jepa_wm_wall,11401,fidelity_constrained_matched_geometry,3,1.548617959022522,0.19175942242145538
Wall,jepa_wm_wall,11401,fidelity_constrained_matched_geometry,6,1.5973955392837524,0.21487130224704742
PushT,jepa_wm_pusht,11419,frozen,1,1.080546498298645,0.04421646520495415
PushT,jepa_wm_pusht,11419,frozen,3,0.8691274523735046,0.06461361050605774
PushT,jepa_wm_pusht,11419,frozen,6,0.8383926749229431,0.07368087023496628
PushT,jepa_wm_pusht,11419,fidelity_constrained_latent_only,1,1.0680327415466309,0.039934784173965454
PushT,jepa_wm_pusht,11419,fidelity_constrained_latent_only,3,0.85736083984375,0.057476166635751724
PushT,jepa_wm_pusht,11419,fidelity_constrained_latent_only,6,0.8129069805145264,0.06342004984617233
PushT,jepa_wm_pusht,11419,fidelity_constrained_shuffled_geometry,1,1.0727708339691162,0.045068398118019104
PushT,jepa_wm_pusht,11419,fidelity_constrained_shuffled_geometry,3,0.8732362389564514,0.06479387730360031
PushT,jepa_wm_pusht,11419,fidelity_constrained_shuffled_geometry,6,0.8314647078514099,0.07420871406793594
PushT,jepa_wm_pusht,11419,fidelity_constrained_matched_geometry,1,1.0591323375701904,0.044238314032554626
PushT,jepa_wm_pusht,11419,fidelity_constrained_matched_geometry,3,0.846636176109314,0.06246847286820412
PushT,jepa_wm_pusht,11419,fidelity_constrained_matched_geometry,6,0.7994590997695923,0.0692911148071289
Wall,jepa_wm_wall,11419,frozen,1,1.189724087715149,0.12702064216136932
Wall,jepa_wm_wall,11419,frozen,3,1.7150977849960327,0.1991143375635147
Wall,jepa_wm_wall,11419,frozen,6,1.7570147514343262,0.21436478197574615
Wall,jepa_wm_wall,11419,fidelity_constrained_latent_only,1,1.1638518571853638,0.09151589125394821
Wall,jepa_wm_wall,11419,fidelity_constrained_latent_only,3,1.555517315864563,0.1467047780752182
Wall,jepa_wm_wall,11419,fidelity_constrained_latent_only,6,1.7432693243026733,0.17376960813999176
Wall,jepa_wm_wall,11419,fidelity_constrained_shuffled_geometry,1,1.1444705724716187,0.12950019538402557
Wall,jepa_wm_wall,11419,fidelity_constrained_shuffled_geometry,3,1.6294447183609009,0.19568781554698944
Wall,jepa_wm_wall,11419,fidelity_constrained_shuffled_geometry,6,1.7095125913619995,0.21374110877513885
Wall,jepa_wm_wall,11419,fidelity_constrained_matched_geometry,1,1.1463600397109985,0.12938781082630157
Wall,jepa_wm_wall,11419,fidelity_constrained_matched_geometry,3,1.5475467443466187,0.19155919551849365
Wall,jepa_wm_wall,11419,fidelity_constrained_matched_geometry,6,1.5918195247650146,0.21434475481510162
PushT,jepa_wm_pusht,11437,frozen,1,1.080546498298645,0.04421646520495415
PushT,jepa_wm_pusht,11437,frozen,3,0.8691274523735046,0.06461361050605774
PushT,jepa_wm_pusht,11437,frozen,6,0.8383926749229431,0.07368087023496628
PushT,jepa_wm_pusht,11437,fidelity_constrained_latent_only,1,1.0680699348449707,0.03996054828166962
PushT,jepa_wm_pusht,11437,fidelity_constrained_latent_only,3,0.8574783802032471,0.057509005069732666
PushT,jepa_wm_pusht,11437,fidelity_constrained_latent_only,6,0.8130913972854614,0.06346403807401657
PushT,jepa_wm_pusht,11437,fidelity_constrained_shuffled_geometry,1,1.0722553730010986,0.045099515467882156
PushT,jepa_wm_pusht,11437,fidelity_constrained_shuffled_geometry,3,0.8755682110786438,0.06531815230846405
PushT,jepa_wm_pusht,11437,fidelity_constrained_shuffled_geometry,6,0.833736777305603,0.07472776621580124
PushT,jepa_wm_pusht,11437,fidelity_constrained_matched_geometry,1,1.0578103065490723,0.04428635537624359
PushT,jepa_wm_pusht,11437,fidelity_constrained_matched_geometry,3,0.8470637202262878,0.06259337812662125
