environment,model,state_id,task_id,method,variant,adaptation_seed,projection_seed,horizon,whitened_geometry_rmse
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,14011,1,1.001583489042115
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,14011,3,0.856746390305693
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,14011,6,0.8209525429632967
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,14011,1,1.241463300912498
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,14011,3,0.9148335664283752
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,14011,6,0.8849812688168341
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,14011,1,1.339332821382058
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,14011,3,1.1598093695722922
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,14011,6,1.010109904488277
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,14011,1,1.6175545341725683
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,14011,3,0.9507123906880707
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,14011,6,0.8807773424528383
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,14011,1,1.1669857198099185
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,14011,3,0.8977412559586561
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,14011,6,0.7770918077201366
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,14011,1,1.253164545795426
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,14011,3,0.8919511226732847
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,14011,6,0.821019440355503
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,14011,1,0.5001497070166461
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,14011,3,0.6113823169375033
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,14011,6,0.7092168047218697
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,14011,1,0.5929158479697505
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,14011,3,0.7346182629221548
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,14011,6,0.7425347673373917
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,14011,1,1.2619167787980983
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,14011,3,1.0924227794845702
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,14011,6,1.0983264820464178
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,14011,1,0.6376260182871049
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,14011,3,0.8841794255165393
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,14011,6,0.8863787410339694
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,14011,1,0.5620293199876452
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,14011,3,0.6176270595779012
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,14011,6,0.6972455946309714
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,14011,1,0.8034859111693499
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,14011,3,0.6693173531245054
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,14011,6,0.6826843249466304
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,14011,1,1.000462653877592
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,14011,3,0.7222137474847706
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,14011,6,0.8507428857397276
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,14011,1,0.6185775966001789
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,14011,3,0.8660080943168192
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,14011,6,0.8661345182060995
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,14011,1,0.6994558016263843
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,14011,3,0.8069207651626765
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,14011,6,0.7945319571464841
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,14011,1,0.8908703744243208
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,14011,3,0.6221571982271983
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,14011,6,0.6344602208859124
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,14011,1,1.7627169661749926
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,14011,3,0.8441591781145478
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,14011,6,0.8129114491126939
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,14011,1,1.2020113577126574
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,14011,3,0.8112158621117882
