environment,treatment,baseline,horizon,metric,positive_means_treatment_better,adaptation_seeds_averaged_within_task,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_matched_geometry,frozen,1,normalized_regret,True,3,0.006481129206376123,0.0,0.01944338761912837,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.01944338761912837}"
PushT,fidelity_constrained_matched_geometry,frozen,1,weighted_pairwise_accuracy,True,3,0.034673608496694486,0.024380040376319124,0.04530834992282532,3,2000,"{""1"": 0.024380040376319124, ""2"": 0.03433243519093902, ""6"": 0.04530834992282532}"
PushT,fidelity_constrained_matched_geometry,frozen,1,top1_correct,True,3,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,1,normalized_regret,True,3,0.00348739799089704,-0.00898119364643725,0.01944338761912837,3,2000,"{""1"": 0.0, ""2"": -0.00898119364643725, ""6"": 0.01944338761912837}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,1,weighted_pairwise_accuracy,True,3,0.02261017121666775,0.0025373685306028996,0.03559583161599719,3,2000,"{""1"": 0.029697313503403166, ""2"": 0.03559583161599719, ""6"": 0.0025373685306028996}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,1,top1_correct,True,3,-0.041666666666666664,-0.125,0.0,3,2000,"{""1"": 0.0, ""2"": -0.125, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,1,normalized_regret,True,3,0.000766364106745715,0.0,0.002299092320237145,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.002299092320237145}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,1,weighted_pairwise_accuracy,True,3,-0.007804055778335615,-0.009160459693702256,-0.0051438051636058905,3,2000,"{""1"": -0.0051438051636058905, ""2"": -0.009160459693702256, ""6"": -0.009107902477698701}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,1,top1_correct,True,3,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,frozen,3,normalized_regret,True,3,0.046054466781272986,-0.1356049132510629,0.25847048729141225,3,2000,"{""1"": 0.25847048729141225, ""2"": -0.1356049132510629, ""6"": 0.015297826303469597}"
