environment,model,state_id,task_id,evaluation_seed,split,variant,method,adaptation_seed,projection_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,pose_error,selected_action,oracle_action,selected_is_null
PushT,jepa_wm_pusht,8,1,913,development_holdout,frozen,frozen,-1,14011,1,0.28610195971877866,0.133473211749787,0.0,4.156244130097645,0.07539881207340307,8,1,0
PushT,jepa_wm_pusht,8,1,913,development_holdout,frozen,frozen,-1,14011,3,0.8974594425317869,0.5001310990859457,0.0,1.4345140026229117,0.08293329951300325,0,6,1
PushT,jepa_wm_pusht,8,1,913,development_holdout,frozen,frozen,-1,14011,6,1.0,0.3172156089128661,0.0,1.5527695571324305,0.12612653912289318,3,1,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,frozen,frozen,-1,14011,1,0.8274135674934155,0.5577275099555352,0.0,1.7349220718871625,0.03494509105238884,7,0,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,frozen,frozen,-1,14011,3,0.2415867066316891,0.4077353235554911,0.0,1.627741492066935,0.07604815826037295,5,2,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,frozen,frozen,-1,14011,6,0.0,0.5219578491401331,1.0,1.2166147044891642,0.09883366402560448,3,3,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,frozen,frozen,-1,14011,1,0.9857156299471648,0.1068231781204221,0.0,1.387593098729513,0.04738336662487222,8,1,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,frozen,frozen,-1,14011,3,0.1030047197118212,0.8342659846033431,0.0,1.5630727675259892,0.07074937260318206,4,6,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,frozen,frozen,-1,14011,6,0.6789019354624969,0.36539006281942654,0.0,2.069099059282073,0.0903901423832727,3,6,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,frozen,frozen,-1,14011,1,0.6306193291317473,0.5208971089086275,0.0,4.040898040551638,0.07769519322618387,4,7,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,frozen,frozen,-1,14011,3,0.0,0.9442874432684638,1.0,0.7413256184438699,0.06885920036192568,6,6,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,frozen,frozen,-1,14011,6,1.0,0.4377327937969739,0.0,1.4658684847850498,0.13243715345733692,3,6,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,frozen,frozen,-1,14011,1,0.0,0.9967510318312203,1.0,0.4627617745002024,0.269914948256443,6,6,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,frozen,frozen,-1,14011,3,0.0,0.881441338148594,1.0,0.8420115906800665,0.10929615970244375,4,4,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,frozen,frozen,-1,14011,6,0.0,0.7119125785635282,1.0,0.8418636483883931,0.11261320162747875,2,2,0
PushT,jepa_wm_pusht,13,1,1709,development_holdout,frozen,frozen,-1,14011,1,0.0,0.9208791673409782,1.0,0.7125852974222148,0.22177160376869,6,6,0
PushT,jepa_wm_pusht,13,1,1709,development_holdout,frozen,frozen,-1,14011,3,0.0,0.7969266878292274,1.0,0.8266564771082101,0.08380442371819959,2,2,0
PushT,jepa_wm_pusht,13,1,1709,development_holdout,frozen,frozen,-1,14011,6,0.38537176163888476,0.7389107017626352,0.0,0.9981117434328559,0.10820124490558958,3,2,0
PushT,jepa_wm_pusht,14,1,913,development_holdout,frozen,frozen,-1,14011,1,0.0,nan,1.0,nan,0.02504300750815309,7,0,0
