environment,state_id,task_id,split,planner,method,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,transition_seeds_averaged
PushT,32,4,probe_calibration,shared_metric,target_oracle,1,0.6498263932996282,0.41030241149138336,0.0,1.2135540371080578,1
PushT,32,4,probe_calibration,shared_metric,target_oracle,3,0.0,0.603772128026998,1.0,1.7182898201217758,1
PushT,32,4,probe_calibration,shared_metric,target_oracle,6,0.0,0.47696468279756,1.0,1.737817962554026,1
PushT,33,4,probe_calibration,shared_metric,target_oracle,1,0.9462520931799491,0.4197866848384682,0.0,1.5734889093476627,1
PushT,33,4,probe_calibration,shared_metric,target_oracle,3,0.38037921226973503,0.742052857721696,0.0,1.297570662653641,1
PushT,33,4,probe_calibration,shared_metric,target_oracle,6,0.4753941310026132,0.5630794888134982,0.0,1.8571349556740144,1
PushT,34,4,probe_calibration,shared_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,34,4,probe_calibration,shared_metric,target_oracle,3,1.0,0.30465666470433034,0.0,2.0994072866122537,1
PushT,34,4,probe_calibration,shared_metric,target_oracle,6,0.4707471199364931,0.564118311872803,0.0,2.7569573483990224,1
PushT,35,4,probe_calibration,shared_metric,target_oracle,1,0.018157698203686963,0.8546161424361631,0.0,1.2571011024773198,1
PushT,35,4,probe_calibration,shared_metric,target_oracle,3,0.0,0.6086721061553356,1.0,1.674350521608864,1
PushT,35,4,probe_calibration,shared_metric,target_oracle,6,1.0,0.25251500761660706,0.0,1.9392422438931114,1
PushT,36,4,probe_calibration,shared_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,36,4,probe_calibration,shared_metric,target_oracle,3,0.7930320356153491,0.7677242445918047,0.0,1.0436462401323015,1
PushT,36,4,probe_calibration,shared_metric,target_oracle,6,0.2196899871585185,0.6446554003901357,0.0,1.4878218912667587,1
PushT,37,4,probe_calibration,shared_metric,target_oracle,1,0.026357446357294877,0.8624934659004391,0.0,0.7924188579028706,1
PushT,37,4,probe_calibration,shared_metric,target_oracle,3,0.13950376751719443,0.8355803586610728,0.0,0.9097980676011412,1
PushT,37,4,probe_calibration,shared_metric,target_oracle,6,0.0,0.5064672065032352,1.0,1.406060902993246,1
PushT,38,4,probe_calibration,shared_metric,target_oracle,1,0.0,0.9030237219033249,1.0,0.727674640118545,1
PushT,38,4,probe_calibration,shared_metric,target_oracle,3,1.0,0.4807941215138583,0.0,1.8566579212101104,1
PushT,38,4,probe_calibration,shared_metric,target_oracle,6,0.010965624782052924,0.7390217917816971,0.0,1.1849760228154123,1
PushT,39,4,probe_calibration,shared_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,39,4,probe_calibration,shared_metric,target_oracle,3,0.0,0.8364022622996445,1.0,1.1252724083463632,1
PushT,39,4,probe_calibration,shared_metric,target_oracle,6,1.0,0.45256338912822863,0.0,1.8191407602344323,1
PushT,56,7,probe_calibration,shared_metric,target_oracle,1,0.16248523186720681,0.8600037259251078,0.0,1.731888501926622,1
PushT,56,7,probe_calibration,shared_metric,target_oracle,3,0.25866913044431683,0.8053674412891857,0.0,1.4197188143929487,1
PushT,56,7,probe_calibration,shared_metric,target_oracle,6,0.3957854378724918,0.37211265447340625,0.0,2.9071635941428338,1
PushT,57,7,probe_calibration,shared_metric,target_oracle,1,0.43629090337492443,0.8762226162689642,0.0,1.3876740929987608,1
PushT,57,7,probe_calibration,shared_metric,target_oracle,3,0.0,0.4901617273332147,1.0,2.599990305753698,1
PushT,57,7,probe_calibration,shared_metric,target_oracle,6,0.675235497395711,0.2779346167961479,0.0,2.8817227432456427,1
PushT,58,7,probe_calibration,shared_metric,target_oracle,1,0.019473376922903234,0.6598420358202116,0.0,0.9750210678004049,1
PushT,58,7,probe_calibration,shared_metric,target_oracle,3,0.2626093123465935,0.8996473198362239,0.0,0.7651810980725147,1
PushT,58,7,probe_calibration,shared_metric,target_oracle,6,0.25584345127269525,0.6083783976513736,0.0,1.4640871230263948,1
PushT,59,7,probe_calibration,shared_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,59,7,probe_calibration,shared_metric,target_oracle,3,0.6257152807230222,0.7168691862408191,0.0,0.9848418611012567,1
PushT,59,7,probe_calibration,shared_metric,target_oracle,6,0.5730438261998716,0.5400411138261393,0.0,2.3154767040990634,1
PushT,60,7,probe_calibration,shared_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,60,7,probe_calibration,shared_metric,target_oracle,3,0.0,0.8804878926884296,1.0,1.409277922264611,1
PushT,60,7,probe_calibration,shared_metric,target_oracle,6,0.0,0.8595374259880244,1.0,2.2105731680060035,1
PushT,61,7,probe_calibration,shared_metric,target_oracle,1,0.0,0.9636671087623734,1.0,0.6348244457346459,1
PushT,61,7,probe_calibration,shared_metric,target_oracle,3,1.0,0.32251551698747233,0.0,2.3196597564544574,1
PushT,61,7,probe_calibration,shared_metric,target_oracle,6,1.0,0.3615873820803918,0.0,2.1523701833424336,1
PushT,62,7,probe_calibration,shared_metric,target_oracle,1,0.00974118672158803,0.8497115245386044,0.0,1.1059459107422662,1
PushT,62,7,probe_calibration,shared_metric,target_oracle,3,0.246843608786894,0.4265060227942473,0.0,1.7977960097096313,1
PushT,62,7,probe_calibration,shared_metric,target_oracle,6,0.0,0.8048789855620953,1.0,1.0756862074455809,1
PushT,63,7,probe_calibration,shared_metric,target_oracle,1,0.0,0.4444444444444444,1.0,1.2623213954328425,1
PushT,63,7,probe_calibration,shared_metric,target_oracle,3,0.0,0.19596267818157312,1.0,1.2177706437668347,1
PushT,63,7,probe_calibration,shared_metric,target_oracle,6,0.2884514587712441,0.38597907094191275,0.0,2.1692926322471213,1
PushT,80,10,probe_calibration,shared_metric,target_oracle,1,1.0,0.5569552999203202,0.0,1.0236677392634894,1
PushT,80,10,probe_calibration,shared_metric,target_oracle,3,1.0,0.3992844177449064,0.0,1.5254759362617056,1
PushT,80,10,probe_calibration,shared_metric,target_oracle,6,0.0,0.7571853591306399,1.0,1.6048692793024444,1
PushT,81,10,probe_calibration,shared_metric,target_oracle,1,0.46583742955331725,0.5827914682814951,0.0,1.2613266949390307,1
PushT,81,10,probe_calibration,shared_metric,target_oracle,3,0.0,0.8605510014266141,1.0,1.5237704417917852,1
PushT,81,10,probe_calibration,shared_metric,target_oracle,6,0.022801833867934655,0.48730106538131,0.0,1.5181224577507348,1
PushT,82,10,probe_calibration,shared_metric,target_oracle,1,1.0,0.04828740642527535,0.0,1.5867827124208516,1
PushT,82,10,probe_calibration,shared_metric,target_oracle,3,0.06219646913018014,0.9275969646996914,0.0,1.3915138661179385,1
PushT,82,10,probe_calibration,shared_metric,target_oracle,6,1.0,0.4688968608334648,0.0,2.0685908984929102,1
PushT,83,10,probe_calibration,shared_metric,target_oracle,1,1.0,0.5555555555555556,0.0,1.6438581169778863,1
PushT,83,10,probe_calibration,shared_metric,target_oracle,3,0.8483196915849515,0.23285442958709543,0.0,2.122575634439236,1
PushT,83,10,probe_calibration,shared_metric,target_oracle,6,0.8632379851104428,0.6348579556738896,0.0,1.5351765423109522,1
PushT,84,10,probe_calibration,shared_metric,target_oracle,1,0.0,0.9599424474256225,1.0,0.7981425095987873,1
PushT,84,10,probe_calibration,shared_metric,target_oracle,3,0.1263654193081281,0.9820925564847642,0.0,1.1692400366704083,1
PushT,84,10,probe_calibration,shared_metric,target_oracle,6,0.14961402689249637,0.766888530453465,0.0,1.4247389163054642,1
PushT,85,10,probe_calibration,shared_metric,target_oracle,1,0.2713421732734029,0.8705838226483281,0.0,0.8564814366242159,1
PushT,85,10,probe_calibration,shared_metric,target_oracle,3,1.0,0.287021704369235,0.0,2.8112272998651697,1
PushT,85,10,probe_calibration,shared_metric,target_oracle,6,0.0,0.6112698588974662,1.0,1.7572781435779363,1
PushT,86,10,probe_calibration,shared_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,86,10,probe_calibration,shared_metric,target_oracle,3,0.232049245096192,0.7265722357287654,0.0,1.227609274402774,1
PushT,86,10,probe_calibration,shared_metric,target_oracle,6,0.0,0.542347655602263,1.0,2.6210672366600463,1
PushT,87,10,probe_calibration,shared_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,87,10,probe_calibration,shared_metric,target_oracle,3,0.23959259644456535,0.788834008336323,0.0,1.046041833272863,1
PushT,87,10,probe_calibration,shared_metric,target_oracle,6,0.16328867538699338,0.590098323881697,0.0,1.1814675957569127,1
PushT,32,4,probe_calibration,goal_permuted_metric,target_oracle,1,1.0,0.16551157669834707,0.0,1.6275450015115183,1
PushT,32,4,probe_calibration,goal_permuted_metric,target_oracle,3,0.0,0.6932340489069396,1.0,2.110657276035925,1
PushT,32,4,probe_calibration,goal_permuted_metric,target_oracle,6,0.5765172531334997,0.4590037123451878,0.0,2.104780393574812,1
PushT,33,4,probe_calibration,goal_permuted_metric,target_oracle,1,0.9462520931799491,0.4197866848384682,0.0,1.6079786832175431,1
PushT,33,4,probe_calibration,goal_permuted_metric,target_oracle,3,0.38037921226973503,0.748062195102449,0.0,1.6020752022860512,1
PushT,33,4,probe_calibration,goal_permuted_metric,target_oracle,6,0.6039370276620464,0.585612342959907,0.0,2.6494279025847156,1
PushT,34,4,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,34,4,probe_calibration,goal_permuted_metric,target_oracle,3,1.0,0.40679998034530546,0.0,2.555266790201464,1
PushT,34,4,probe_calibration,goal_permuted_metric,target_oracle,6,0.4707471199364931,0.5621318246480981,0.0,3.110697762451103,1
PushT,35,4,probe_calibration,goal_permuted_metric,target_oracle,1,0.018157698203686963,0.8546161424361631,0.0,1.3220576879409103,1
PushT,35,4,probe_calibration,goal_permuted_metric,target_oracle,3,0.0,0.5112662047280767,1.0,2.0119784399181304,1
PushT,35,4,probe_calibration,goal_permuted_metric,target_oracle,6,1.0,0.24172068847982517,0.0,1.873146059260595,1
PushT,36,4,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,36,4,probe_calibration,goal_permuted_metric,target_oracle,3,0.7930320356153491,0.821439186749676,0.0,1.3742609879312635,1
PushT,36,4,probe_calibration,goal_permuted_metric,target_oracle,6,0.0,0.7530090537517501,1.0,2.0223506518604646,1
PushT,37,4,probe_calibration,goal_permuted_metric,target_oracle,1,0.6316917597900652,0.6568949258781948,0.0,1.1922687047977603,1
PushT,37,4,probe_calibration,goal_permuted_metric,target_oracle,3,0.13950376751719443,0.8396573933492085,0.0,0.8375840018946961,1
PushT,37,4,probe_calibration,goal_permuted_metric,target_oracle,6,0.0,0.6139878819726644,1.0,1.3437186591899584,1
PushT,38,4,probe_calibration,goal_permuted_metric,target_oracle,1,0.012385135246972262,0.8454606453352176,0.0,0.9252108532424096,1
PushT,38,4,probe_calibration,goal_permuted_metric,target_oracle,3,1.0,0.4961359294821231,0.0,1.7567820534251626,1
PushT,38,4,probe_calibration,goal_permuted_metric,target_oracle,6,0.010965624782052924,0.7155590286737755,0.0,1.3686900677659535,1
PushT,39,4,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,39,4,probe_calibration,goal_permuted_metric,target_oracle,3,0.0,0.9839970117503195,1.0,1.8834562146766471,1
PushT,39,4,probe_calibration,goal_permuted_metric,target_oracle,6,1.0,0.5897967874833742,0.0,2.4935768119084187,1
PushT,56,7,probe_calibration,goal_permuted_metric,target_oracle,1,0.16248523186720681,0.8834498059312162,0.0,1.8973868474404212,1
PushT,56,7,probe_calibration,goal_permuted_metric,target_oracle,3,0.25866913044431683,0.878194589008204,0.0,1.3703058191650705,1
PushT,56,7,probe_calibration,goal_permuted_metric,target_oracle,6,0.3957854378724918,0.5068513886348545,0.0,2.59750810172313,1
PushT,57,7,probe_calibration,goal_permuted_metric,target_oracle,1,0.43629090337492443,0.8762226162689642,0.0,1.5862938551006711,1
PushT,57,7,probe_calibration,goal_permuted_metric,target_oracle,3,0.0,0.4854564256490625,1.0,2.7145719631696164,1
PushT,57,7,probe_calibration,goal_permuted_metric,target_oracle,6,0.675235497395711,0.4476081023572954,0.0,2.508270101191094,1
PushT,58,7,probe_calibration,goal_permuted_metric,target_oracle,1,0.19770138671604093,0.7066216119233248,0.0,0.8911499420614927,1
PushT,58,7,probe_calibration,goal_permuted_metric,target_oracle,3,0.2626093123465935,0.915411498324847,0.0,0.6701880076460173,1
PushT,58,7,probe_calibration,goal_permuted_metric,target_oracle,6,0.6711127589221141,0.6485378312272257,0.0,1.4722192188072218,1
PushT,59,7,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,59,7,probe_calibration,goal_permuted_metric,target_oracle,3,0.6257152807230222,0.8044059011646302,0.0,0.8963304175430363,1
PushT,59,7,probe_calibration,goal_permuted_metric,target_oracle,6,0.5730438261998716,0.5894433488304028,0.0,2.0584205950739345,1
PushT,60,7,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,60,7,probe_calibration,goal_permuted_metric,target_oracle,3,0.0,0.8989210911959696,1.0,1.5204430078816324,1
PushT,60,7,probe_calibration,goal_permuted_metric,target_oracle,6,1.0,0.7835330777812031,0.0,2.0280530889263444,1
PushT,61,7,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,0.925719238070782,1.0,0.8189358209367054,1
PushT,61,7,probe_calibration,goal_permuted_metric,target_oracle,3,1.0,0.35650400613122707,0.0,2.4779273790324665,1
PushT,61,7,probe_calibration,goal_permuted_metric,target_oracle,6,1.0,0.3361809378835009,0.0,2.486534779331745,1
PushT,62,7,probe_calibration,goal_permuted_metric,target_oracle,1,0.3666212435134539,0.6850817251331869,0.0,1.5070448993090126,1
PushT,62,7,probe_calibration,goal_permuted_metric,target_oracle,3,0.246843608786894,0.4740336415733941,0.0,1.8832040529514469,1
PushT,62,7,probe_calibration,goal_permuted_metric,target_oracle,6,0.0,0.8994739535032537,1.0,1.1034445110446498,1
PushT,63,7,probe_calibration,goal_permuted_metric,target_oracle,1,1.0,0.0,0.0,1.2960648946939868,1
PushT,63,7,probe_calibration,goal_permuted_metric,target_oracle,3,0.020238454988169296,0.5438370538642895,0.0,1.095850814097544,1
