environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,native_anchor
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,1,0.037590671330690384
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,3,0.05511542409658432
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,6,0.0763002559542656
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,1,0.04999617114663124
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,3,0.0699891448020935
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,6,0.07771334797143936
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,1,0.05979752913117409
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,3,0.11318425089120865
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,6,0.12992599606513977
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,1,0.08038286119699478
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,3,0.07276362180709839
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,6,0.08045974373817444
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,1,0.04473087936639786
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,3,0.058466892689466476
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,6,0.06247500330209732
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,1,0.06240770220756531
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,3,0.0787787064909935
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,6,0.07257605344057083
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,1,0.017284490168094635
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,3,0.037157442420721054
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,6,0.0553031861782074
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,1,0.02010764181613922
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,3,0.05297539010643959
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,6,0.06897220760583878
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,1,0.06261518597602844
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,3,0.14818163216114044
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,6,0.16724038124084473
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,1,0.027963120490312576
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,3,0.05596189945936203
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,6,0.07809613645076752
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,1,0.01794116571545601
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,3,0.03608283773064613
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,6,0.05735453963279724
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,1,0.028265323489904404
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,3,0.04199257120490074
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,6,0.056058306246995926
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,1,0.033102814108133316
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,3,0.044894028455019
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,6,0.0660930648446083
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,1,0.025655314326286316
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,3,0.05223233997821808
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,6,0.0791235864162445
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,1,0.02106950618326664
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,3,0.06792990863323212
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,6,0.07130510360002518
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,1,0.02814650721848011
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,3,0.03318455442786217
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,6,0.04668523743748665
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,1,0.09011293947696686
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,3,0.048242587596178055
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,6,0.05652670934796333
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,1,0.04527951776981354
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,3,0.0515633150935173
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,6,0.04793805629014969
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,1,0.039166223257780075
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,3,0.05766601487994194
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,6,0.10485390573740005
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,1,0.043099869042634964
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,3,0.04750138521194458
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,6,0.05088319256901741
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,1,0.022184796631336212
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,3,0.03796421363949776
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,6,0.04757561907172203
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,1,0.03689003735780716
