environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,1,0.01282478008355127,0.8882608281952827,0.0,6,1
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,3,0.0,0.6697633664456427,1.0,6,6
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,6,0.5781148528381919,0.17447280821229272,0.0,8,1
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,1,0.8274135674934155,0.010384531390538817,0.0,7,0
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,3,0.7286493483691098,0.08894510686473363,0.0,7,2
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,6,0.8502269524673542,0.3430177427807483,0.0,7,3
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,1,0.12049358852617963,0.9787368933195569,0.0,4,1
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,3,0.6177998268323661,0.7957491777340341,0.0,2,6
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,6,0.0,0.5717999507807378,1.0,6,6
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,1,0.49698986494663716,0.2846417085883591,0.0,8,7
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,3,0.6743631771803672,0.3850664227791001,0.0,5,6
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,6,0.0,0.3735764386258347,1.0,6,6
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,1,0.15542731492732748,0.9705102209582386,0.0,8,6
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,3,0.0,0.5642825487649172,1.0,4,4
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,6,0.01885074951463251,0.7627165900923765,0.0,4,2
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,1,0.9488516591828323,0.13809115707252423,0.0,0,6
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,3,0.0161718104917741,0.8192106822318012,0.0,4,2
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,6,0.0,0.8860253256663309,1.0,2,2
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,1,0.0,nan,1.0,7,0
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,3,1.0,0.7785890759529243,0.0,9,2
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,6,0.10985312473301036,0.7245726191907192,0.0,3,2
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,1,0.0,nan,1.0,9,0
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,3,0.0,0.8901086364602276,1.0,2,2
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,6,1.0,0.5000267236754532,0.0,7,3
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,1,0.04667333317829818,0.9759580478347364,0.0,6,4
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,3,0.0,0.7533667454612822,1.0,6,6
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,6,0.0,0.4036028971644958,1.0,6,6
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,1,0.0,nan,1.0,4,0
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,3,0.5789271149086822,0.6585995212884982,0.0,4,2
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,6,0.0,0.7513638268287729,1.0,3,3
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,1,0.0,nan,1.0,5,0
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,3,0.44201480759003287,0.7492475583310807,0.0,5,2
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,6,1.0,0.44454359089834045,0.0,7,2
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,1,0.0,0.883968134000689,1.0,7,7
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,3,0.0,0.9786737532318673,1.0,7,7
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,6,0.05206520357815755,0.7588362377497374,0.0,7,5
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,1,0.071849549171498,0.9934338596660927,0.0,6,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,3,0.06837919317243876,0.8052101366498173,0.0,6,8
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,6,1.0,0.17225624112499385,0.0,3,8
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,1,0.0,nan,1.0,4,0
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,3,0.0,0.6384194387262251,1.0,2,2
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,6,0.0,0.7585399190099477,1.0,3,3
