environment,model,variant,method,adaptation_seed,evaluation_projection_seed,evaluation_projection_dim,ridge,calibration_pose_mse,ridge_optimum_interior,ridge_search_audit_json
PushT,jepa_wm_pusht,frozen,frozen,-1,15001,128,100.0,0.056426192455677565,True,"[{""best_index"": 5, ""best_loss"": 0.056426192455677565, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,15001,128,100.0,0.05809759052325995,True,"[{""best_index"": 5, ""best_loss"": 0.05809759052325995, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,15001,128,100.0,0.05559026309546344,True,"[{""best_index"": 5, ""best_loss"": 0.05559026309546344, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_matched_geometry__seed11401,fidelity_constrained_matched_geometry,11401,15001,128,100.0,0.05657161395520721,True,"[{""best_index"": 5, ""best_loss"": 0.05657161395520721, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_latent_only__seed11419,fidelity_constrained_latent_only,11419,15001,128,100.0,0.05773249769963889,True,"[{""best_index"": 5, ""best_loss"": 0.05773249769963889, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_shuffled_geometry__seed11419,fidelity_constrained_shuffled_geometry,11419,15001,128,100.0,0.05579399171394369,True,"[{""best_index"": 5, ""best_loss"": 0.05579399171394369, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_matched_geometry__seed11419,fidelity_constrained_matched_geometry,11419,15001,128,100.0,0.05660902947447713,True,"[{""best_index"": 5, ""best_loss"": 0.05660902947447713, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_latent_only__seed11437,fidelity_constrained_latent_only,11437,15001,128,100.0,0.05786836925914161,True,"[{""best_index"": 5, ""best_loss"": 0.05786836925914161, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_shuffled_geometry__seed11437,fidelity_constrained_shuffled_geometry,11437,15001,128,100.0,0.05558295767252969,True,"[{""best_index"": 5, ""best_loss"": 0.05558295767252969, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_matched_geometry__seed11437,fidelity_constrained_matched_geometry,11437,15001,128,100.0,0.05669866923175388,True,"[{""best_index"": 5, ""best_loss"": 0.05669866923175388, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,frozen,frozen,-1,15001,128,100.0,0.016330110441822913,True,"[{""best_index"": 5, ""best_loss"": 0.016330110441822913, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,15001,128,100.0,0.026170209466708103,True,"[{""best_index"": 5, ""best_loss"": 0.026170209466708103, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,15001,128,100.0,0.013683999134083708,True,"[{""best_index"": 5, ""best_loss"": 0.013683999134083708, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_matched_geometry__seed11401,fidelity_constrained_matched_geometry,11401,15001,128,100.0,0.012164254020150797,True,"[{""best_index"": 5, ""best_loss"": 0.012164254020150797, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_latent_only__seed11419,fidelity_constrained_latent_only,11419,15001,128,100.0,0.02446374220107042,True,"[{""best_index"": 5, ""best_loss"": 0.02446374220107042, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_shuffled_geometry__seed11419,fidelity_constrained_shuffled_geometry,11419,15001,128,100.0,0.01382805794040307,True,"[{""best_index"": 5, ""best_loss"": 0.01382805794040307, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_matched_geometry__seed11419,fidelity_constrained_matched_geometry,11419,15001,128,100.0,0.011765961211970346,True,"[{""best_index"": 5, ""best_loss"": 0.011765961211970346, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_latent_only__seed11437,fidelity_constrained_latent_only,11437,15001,128,100.0,0.026205150113382293,True,"[{""best_index"": 5, ""best_loss"": 0.026205150113382293, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_shuffled_geometry__seed11437,fidelity_constrained_shuffled_geometry,11437,15001,128,100.0,0.01367616038502472,True,"[{""best_index"": 5, ""best_loss"": 0.01367616038502472, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
Wall,jepa_wm_wall,fidelity_constrained_matched_geometry__seed11437,fidelity_constrained_matched_geometry,11437,15001,128,100.0,0.011870783564492575,True,"[{""best_index"": 5, ""best_loss"": 0.011870783564492575, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
